chicken,tropical fruit,rolls/buns,pastry,bottled water,red/blush wine,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,domestic eggs,pastry,margarine,coffee,dental care,hygiene articles,cling film/bags,,,,,,,,,,,,,,,,,,,,
beef,citrus fruit,root vegetables,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,pip fruit,root vegetables,other vegetables,curd,butter milk,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,root vegetables,whipped/sour cream,frozen vegetables,roll products ,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,other vegetables,yogurt,whipped/sour cream,domestic eggs,brown bread,specialty vegetables,coffee,specialty chocolate,pot plants,,,,,,,,,,,,,,,,,,,
specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,other vegetables,yogurt,UHT-milk,cream cheese ,fruit/vegetable juice,hygiene articles,pot plants,,,,,,,,,,,,,,,,,,,
frankfurter,turkey,citrus fruit,whole milk,curd,frozen potato products,rolls/buns,white bread,pastry,semi-finished bread,pickled vegetables,sweet spreads,bottled water,soda,fruit/vegetable juice,bottled beer,white wine,prosecco,chocolate,candy,,,,,,,,,
sausage,beef,tropical fruit,other vegetables,butter,yogurt,UHT-milk,condensed milk,sliced cheese,salt,soups,sweet spreads,newspapers,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,sliced cheese,rolls/buns,cat food,shopping bags,,,,,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,UHT-milk,brown bread,Instant food products,napkins,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,root vegetables,ice cream,rolls/buns,syrup,canned beer,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,whole milk,dessert,butter milk,yogurt,soft cheese,sliced cheese,ice cream,white bread,coffee,soda,salty snack,long life bakery product,chewing gum,chocolate,napkins,newspapers,shopping bags,,,,,,,,,,
curd,yogurt,domestic eggs,white bread,instant coffee,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,other vegetables,whole milk,curd,cream,domestic eggs,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
frankfurter,root vegetables,bottled water,canned beer,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,UHT-milk,hard cheese,rolls/buns,sweet spreads,salty snack,popcorn,waffles,cake bar,specialty bar,,,,,,,,,,,,,,,,,,
frankfurter,pip fruit,root vegetables,other vegetables,whole milk,butter milk,organic products,soda,,,,,,,,,,,,,,,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,soft cheese,house keeping products,newspapers,,,,,,,,,,,,,,,,,,,,,,
vinegar,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,grapes,root vegetables,other vegetables,rolls/buns,tea,bottled beer,,,,,,,,,,,,,,,,,,,,,,
pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,curd,semi-finished bread,mustard,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,meat,chicken,ice cream,domestic eggs,pastry,pasta,sugar,coffee,newspapers,,,,,,,,,,,,,,,,,,,
whole milk,domestic eggs,oil,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,pastry,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,
long life bakery product,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,pip fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,cream cheese ,brown bread,soups,sauces,,,,,,,,,,,,,,,,,,,
frankfurter,whipped/sour cream,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,
hard cheese,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,other vegetables,whole milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
soft cheese,rolls/buns,brown bread,syrup,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,grapes,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,grapes,root vegetables,other vegetables,softener,kitchen towels,pot plants,,,,,,,,,,,,,,,,,,,,,,
finished products,cat food,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,yogurt,rolls/buns,candles,newspapers,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,cream cheese ,sweet spreads,long life bakery product,napkins,,,,,,,,,,,,,,,,,,,,,,,
