State/UT,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Political Motives,Terrorist Activities,Inciting Hate against Country,Disrupt Public Service,Sale Purchase illegal drugs,Developing own business,Spreading Piracy,Steal Information,Others Motives
Andhra Pradesh,83,39,1149,56,15,2,169,67,0,0,2,0,42,0,4,271
Arunachal Pradesh,1,0,26,0,0,0,0,0,0,0,0,0,0,0,2,1
Assam,654,164,242,447,85,35,483,24,0,58,12,0,3,0,0,1323
Bihar,84,34,1218,102,19,12,32,7,0,0,1,0,3,0,0,0
Chhattisgarh,0,1,75,7,41,0,35,0,2,0,0,0,1,0,0,135
Goa,0,0,25,0,10,0,4,0,0,0,0,0,0,0,0,1
Gujarat,6,31,875,26,203,43,37,3,0,6,8,2,5,4,0,34
Haryana,14,3,157,17,9,1,70,1,0,0,2,0,8,6,0,368
Himachal Pradesh,2,1,19,9,15,0,34,3,0,0,1,0,6,1,1,6
Jharkhand,4,4,1069,14,2,0,13,0,7,0,7,13,0,0,49,22
Karnataka,147,13,9680,74,368,0,191,18,0,3,1,2,17,4,0,223
Kerala,44,34,96,21,58,10,138,10,0,0,0,0,0,1,0,14
Madhya Pradesh,7,6,292,13,66,2,119,3,0,0,0,0,7,0,0,184
Maharashtra,36,105,3413,45,76,32,612,9,0,3,2,0,14,0,0,1149
Manipur,0,2,40,0,3,0,10,10,0,0,0,0,0,0,0,14
Meghalaya,6,10,81,7,9,0,9,1,1,0,0,0,0,0,1,17
Mizoram,0,0,3,0,2,3,1,1,3,0,0,0,0,0,0,0
Nagaland,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1
Odisha,1,33,1380,175,0,0,239,0,0,0,0,0,0,0,0,103
Punjab,4,19,164,29,19,3,58,2,0,7,2,0,1,3,0,67
Rajasthan,22,10,641,42,73,11,67,4,0,4,0,0,17,0,0,463
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,83,57,134,112,43,7,192,108,0,0,16,0,0,19,0,11
Telangana,96,24,4436,115,3,0,85,8,0,0,1,0,0,0,0,256
Tripura,14,1,11,0,2,0,3,1,0,0,0,0,0,1,0,1
Uttar Pradesh,78,210,4674,1055,547,87,560,73,96,82,35,0,76,36,5,3483
Uttarakhand,11,5,98,33,6,0,44,1,0,0,0,4,2,0,0,39
West Bengal,66,8,72,12,3,3,44,1,0,0,0,0,1,0,0,502
A & N Islands,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
Chandigarh,0,0,7,1,0,0,7,0,0,0,0,0,0,0,0,2
D & N Haveli and Daman & Diu,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Delhi,2,4,23,15,0,0,20,0,0,0,0,0,0,0,0,104
Jammu & Kashmir,3,4,33,9,28,2,12,1,4,2,1,0,7,0,0,14
Ladakh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lakshadweep,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Puducherry,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3
